2023-09-28 17:33:19.565 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:23.719 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.719 [pool-7-thread-8] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 22
2023-09-28 17:33:23.719 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.719 [pool-7-thread-8] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 11 is calling 
2023-09-28 17:33:23.719 [pool-7-thread-9] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 13 is returning 
2023-09-28 17:33:23.719 [pool-7-thread-1] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 18 is returning 
2023-09-28 17:33:23.720 [pool-7-thread-9] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 23
2023-09-28 17:33:23.720 [pool-7-thread-1] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 23
2023-09-28 17:33:23.720 [pool-7-thread-9] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 18 is calling 
2023-09-28 17:33:23.720 [pool-7-thread-1] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 13 is calling 
2023-09-28 17:33:23.721 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.722 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.722 [pool-7-thread-10] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 12 is returning 
2023-09-28 17:33:23.724 [pool-7-thread-10] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 25
2023-09-28 17:33:23.723 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.725 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
